publication, type
Herdecke, Stadt
Wertheim, Stadt
Leutkirch im Allgäu, Stadt
Glauchau, Stadt
Überlingen, Stadt
Lengerich, Stadt
Gardelegen, Hansestadt
Burg, Stadt
Bad Soden am Taunus, Stadt
Vreden, Stadt
Rudolstadt, Stadt
Westerstede, Stadt
Donaueschingen, Stadt
Spremberg, Stadt
Gersthofen, St
Radevormwald, Stadt auf der Höhe
Weilheim i.OB, St
Friesoythe, Stadt
Bad Kissingen, GKSt
Nagold, Stadt
Apolda, Stadt
Stadthagen, Stadt
Laupheim, Stadt
Senden, St
Karben, Stadt
Büdingen, Stadt
Neusäß, St
Bad Harzburg, Stadt
Eckernförde, Stadt
Metzingen, Stadt
Osterode am Harz, Stadt
Waldkirch, Stadt
Sondershausen, Stadt
Hockenheim, Stadt
Halle (Westf.), Stadt
Zerbst/Anhalt, Stadt
Heide, Stadt
Rotenburg (Wümme), Stadt
Xanten, Stadt
Schwetzingen, Stadt
Elsdorf, Stadt
Sonthofen, St
Eppingen, Stadt
Büren, Stadt
Versmold, Stadt
Eschborn, Stadt
Puchheim, St
Kaltenkirchen, Stadt
Stadtallendorf, Stadt
Kitzingen, GKSt
Flörsheim am Main, Stadt
Soltau, Stadt
Seligenstadt, Stadt
Waren (Müritz), Stadt
Wipperfürth, Hansestadt
Wülfrath, Stadt
Bad Rappenau, Stadt
Geseke, Stadt
Aichach, St
Rees, Stadt
Meiningen, Stadt
Schramberg, Stadt
Groß-Umstadt, Stadt
Quickborn, Stadt
Traunreut, St
Coswig, Stadt
Reichenbach im Vogtland, Stadt
Fröndenberg/Ruhr, Stadt
Waghäusel, Stadt
Eislingen/Fils, Stadt
Werdau, Stadt
Blieskastel, Stadt
Germersheim, Stadt
Herborn, Stadt
Luckenwalde, Stadt
Enger, Widukindstadt
Greiz, Stadt
Duderstadt, Stadt
Burgwedel, Stadt
Schortens, Stadt
Rheinstetten, Stadt
Mössingen, Stadt
Meinerzhagen, Stadt
Bruchköbel, Stadt
Stadtlohn, Stadt
Wittmund, Stadt
Günzburg, GKSt
Bad Waldsee, Stadt
Nördlingen, GKSt
Traunstein, GKSt
Lichtenfels, St
Dillingen/ Saar, Stadt
Neustrelitz, Stadt
Holzminden, Stadt
Mühldorf a.Inn, St
Nidderau, Stadt
Hörstel, Stadt
Torgau, Stadt
Schifferstadt, Stadt
Oberkirch, Stadt
Zülpich, Stadt
Annaberg-Buchholz, Stadt
Bad Schwartau, Stadt
Blankenburg (Harz), Stadt
Donauwörth, GKSt
Ennigerloh, Stadt
Schopfheim, Stadt
Gerlingen, Stadt
Oschersleben (Bode), Stadt
Wildeshausen, Stadt
Marsberg, Stadt
Telgte, Stadt
Eschwege, Kreisstadt
Giengen an der Brenz, Stadt
Korntal-Münchingen, Stadt
Ochtrup, Stadt
Dingolfing, St
Sulzbach-Rosenberg, St
Bad Berleburg, Stadt
Seesen, Stadt
Bad Krozingen, Stadt
Waldbröl, Stadt
Haldensleben, Stadt
Haiger, Stadt
Bückeburg, Stadt
Schmalkalden, Kurort, Stadt
Borna, Stadt
Sarstedt, Stadt
Bad Friedrichshall, Stadt
Rhede, Stadt
Hechingen, Stadt
Schenefeld, Stadt
Mayen, Stadt
Prenzlau, Stadt
Bad Pyrmont, Stadt
Tettnang, Stadt
Weil der Stadt, Stadt
Müllheim, Stadt
Lebach, Stadt
Bad Driburg, Stadt
Mölln, Stadt
Hemmingen, Stadt
Zossen, Stadt
Wittlich, Stadt
Bergneustadt, Stadt
Heusenstamm, Stadt
Sömmerda, Stadt
Bad Aibling, St
Alfeld (Leine), Stadt
Crimmitschau, Stadt
Dillingen a.d.Donau, GKSt
Wolfratshausen, St
Bad Tölz, St
Schneverdingen, Stadt
Bremervörde, Stadt
Burghausen, St
Sachsenheim, Stadt
Püttlingen, Stadt
Auerbach/Vogtl., Stadt
Vlotho, Stadt
Alzenau, St
Moosburg a.d.Isar, St
Kolbermoor, St
Pfullingen, Stadt
Bad Dürkheim, Stadt
Kronberg im Taunus, Stadt
Leinefelde-Worbis, Stadt
Radeberg, Stadt
Uetersen, Stadt
Marktoberdorf, St
Glinde, Stadt
Forst (Lausitz), Stadt
Alzey, Stadt
Weißenburg i.Bay., GKSt
Konz, Stadt
Großenhain, Stadt
Burscheid, Stadt
Pohlheim, Stadt
Wassenberg, Stadt
Schwalmstadt, Konfirmationsstadt
Vellmar, Stadt
Hessisch Oldendorf, Stadt
Parchim, Stadt
Renningen, Stadt
Wörth am Rhein, Stadt
Bad Reichenhall, GKSt
Lahnstein, Stadt
Schkeuditz, Stadt
Buchen (Odenwald), Stadt
Werdohl, Stadt
Freudenberg, Stadt
Frankenberg (Eder), Stadt
Nauen, Stadt
Bexbach, Stadt
Hochheim am Main, Stadt
Thale, Stadt
Oberasbach, St
Sinzig, Stadt
Garching b.München, St
Oerlinghausen, Stadt
Bad Saulgau, Stadt
Bad Münder am Deister, Stadt
Nidda, Stadt
Bad Langensalza, Stadt
Marktredwitz, GKSt
Bad Segeberg, Stadt
Illertissen, St
Bad Münstereifel, Stadt
Gescher, Glockenstadt
Horn-Bad Meinberg, Stadt
Wittenberge, Stadt
Bad Säckingen, Stadt
Guben, Stadt
Marienberg, Stadt
Bobingen, St
Eltville am Rhein, Stadt
Bad Wildungen, Stadt
Altena, Stadt
Sigmaringen, Stadt
Damme, Stadt
Schrobenhausen, St
Heilbad Heiligenstadt, Stadt
Eutin, Stadt
Schwarzenberg/Erzgeb., Stadt
Stockach, Stadt
Kronach, St
Bendorf, Stadt
Cham, St
Freilassing, St
Remagen, Stadt
Kelheim, St
Trossingen, Stadt
Diepholz, Stadt
Babenhausen, Stadt
Heidenau, Stadt
Zeulenroda-Triebes, Stadt
Königstein im Taunus, Stadt
Kelsterbach, Stadt
Gunzenhausen, St
Penzberg, St
Ginsheim-Gustavsburg, Stadt
Hünfeld, Konrad-Zuse-Stadt
Finsterwalde, Stadt
Vilshofen an der Donau, St
Schwarzenbek, Stadt
Brakel, Stadt
Sulzbach/ Saar, Stadt
Weißwasser/O.L., Stadt
Bürstadt, Stadt
Reinheim, Stadt
Kirchhain, Stadt
Wendlingen am Neckar, Stadt
Wurzen, Stadt
Kierspe, Stadt
Raunheim, Stadt
Halver, Stadt
Lübbenau/Spreewald, Stadt
Michelstadt, Stadt
Bargteheide, Stadt
Preetz, Stadt
Freiberg am Neckar, Stadt
Erwitte, Stadt
Brackenheim, Stadt
Straelen, Stadt
Aue, Stadt
Alsfeld, Stadt
Templin, Stadt
Blaustein, Stadt
Bad Lippspringe, Stadt
Schlüchtern, Stadt
Bad Wörishofen, St
Marbach am Neckar, Stadt
Pocking, St
Bassum, Stadt
Königslutter am Elm, Stadt
Wadern, Stadt
Eilenburg, Stadt
Weener, Stadt
Walldorf, Stadt
Clausthal-Zellerfeld, Berg- und Universitätsstadt
Füssen, St
Markranstädt, Stadt
Dieburg, Stadt
Taucha, Stadt
Drensteinfurt, Stadt
Bad Salzungen, Stadt
Rahden, Stadt
Breisach am Rhein, Stadt
Bad Arolsen, Stadt
Schwalbach am Taunus, Stadt
Bad Bentheim, Stadt
Ebersbach an der Fils, Stadt
Bad Neustadt a.d.Saale, St
Künzelsau, Stadt
Boppard, Stadt
Eppelheim, Stadt
Neustadt b.Coburg, GKSt
Hofgeismar, Stadt
Ribnitz-Damgarten, Stadt
Lohr a.Main, St
Altdorf b.Nürnberg, St
Neustadt in Holstein, Stadt
Blomberg, Stadt
Ober-Ramstadt, Stadt
Witzenhausen, Stadt
Brake (Unterweser), Stadt
Selb, GKSt
Langenau, Stadt
Hückeswagen, Schloss-Stadt
Karlstadt, St
Landsberg, Stadt
Schriesheim, Stadt
Mainburg, St
Munster, Stadt
Stadtbergen, St
Hilchenbach, Stadt
Gehrden, Stadt
Mindelheim, St
Mittweida, Stadt, Hochschulstadt
Markgröningen, Stadt
Bitburg, Stadt
Löbau, Stadt
Kamenz, Stadt
Neu-Anspach, Stadt
Hohenstein-Ernstthal, Stadt
Kraichtal, Stadt
Fritzlar, Dom- und Kaiserstadt
Dorfen, St
Bad Wurzach, Stadt
Olsberg, Stadt
Pattensen, Stadt
Ratzeburg, Stadt
Eberbach, Stadt
Erlensee, Stadt
Lauchhammer, Stadt
Lauda-Königshofen, Stadt
Ottweiler, Stadt
Rotenburg a. d. Fulda, Stadt
Meerane, Stadt
Spenge, Stadt
Sandersdorf-Brehna, Stadt
Oschatz, Stadt
Dippoldiswalde, Stadt
Usingen, Stadt
Münsingen, Stadt
Uhingen, Stadt
Wittstock/Dosse, Stadt
Sassenberg, Stadt
Uslar, Stadt
Bad Bramstedt, Stadt
Hettstedt, Stadt
Bad Camberg, Stadt
Plochingen, Stadt
Immenstadt i.Allgäu, St
Jever, Stadt
Frankenberg/Sa., Stadt
Jessen (Elster), Stadt
Gernsbach, Stadt
Wilsdruff, Stadt
Genthin, Stadt
Lauterbach (Hessen), Kreisstadt
Bebra, Stadt
Neustadt a.d.Donau, St
Homberg (Efze), Reformationsstadt, Kreisstadt
Wanzleben-Börde, Stadt
Schwabmünchen, St
Oberndorf am Neckar, Stadt
Murrhardt, Stadt
Lübben (Spreewald), Stadt
Leuna, Stadt
Langenselbold, Stadt
Stein, St
Kalkar, Stadt
Zeven, Stadt
Schneeberg, Stadt
Markdorf, Stadt
Isny im Allgäu, Stadt
Angermünde, Stadt
Oebisfelde-Weferlingen, Stadt
Abensberg, St
Schwentinental, Stadt
Grünberg, Stadt
Biedenkopf, Stadt
Melsungen, Stadt
Eggenfelden, St
Neutraubling, St
Tornesch, Stadt
Eppstein, Stadt
Bergen, Stadt
Bad Laasphe, Stadt
Erbach, Kreisstadt
Aßlar, Stadt
Grafing b.München, St
Bergen auf Rügen, Stadt
Philippsburg, Stadt
Asperg, Stadt
Eichstätt, GKSt
Lich, Stadt
Grünstadt, Stadt
Vöhringen, St
Haßfurt, St
Südliches Anhalt, Stadt
Solms, Stadt
Erbach, Stadt
Hilpoltstein, St
Lorsch, Karolingerstadt
Zehdenick, Stadt
Weißenhorn, St
Höchstadt a.d.Aisch, St
Bad Soden-Salmünster, Stadt
Neckargemünd, Stadt
Quakenbrück, Stadt
Löningen, Stadt
Landau a.d.Isar, St
Burglengenfeld, St
Montabaur, Stadt
Pegnitz, St
Pfullendorf, Stadt
Tauberbischofsheim, Stadt
Sendenhorst, Stadt
Schleiden, Stadt
Bad Salzdetfurth, Stadt
Beverungen, Stadt
Rödental, St
Bad Dürrheim, Stadt
Östringen, Stadt
Krumbach (Schwaben), St
Wolfhagen, Stadt
Dinklage, Stadt
Wiesmoor, Stadt
Herbrechtingen, Stadt
Wehr, Stadt
Herzberg am Harz, Stadt
Waltershausen, Stadt
Weilburg, Stadt
Holzgerlingen, Stadt
Ettenheim, Stadt
Buchloe, St
Möckern, Stadt
Velen, Stadt
Plattling, St
Neustadt a.d.Aisch, St
Linden, Stadt
Treuchtlingen, St
St. Georgen im Schwarzwald, Stadt
Altötting, St
Haselünne, Stadt
Spaichingen, Stadt
Sulingen, Stadt
Wasserburg a.Inn, St
Steinheim, Stadt
Winterberg, Stadt
Borken (Hessen), Stadt
Brunsbüttel, Stadt
Olfen, Stadt
Schüttorf, Stadt
Fehmarn, Stadt
Pfarrkirchen, St
Anklam, Stadt
Hungen, Stadt
Wächtersbach, Stadt
Linnich, Stadt
Hersbruck, St
Hadamar, Stadt
Besigheim, Stadt
Blaubeuren, Stadt
Neuenburg am Rhein, Stadt
Jüterbog, Stadt
Wernau (Neckar), Stadt
Bad Windsheim, St
Bad Urach, Stadt
Feuchtwangen, St
Preußisch Oldendorf, Stadt
Bad Freienwalde (Oder), Stadt
Perleberg, Stadt
Twistringen, Stadt
Schongau, St
Bad Doberan, Stadt
Hessisch Lichtenau, Stadt
Gladenbach, Stadt
Sulz am Neckar, Stadt
Ludwigslust, Stadt
Rosbach v. d. Höhe, Stadt
Burladingen, Stadt
Weinsberg, Stadt
Titisee-Neustadt, Stadt
Bad Wünnenberg, Stadt
Neustadt in Sachsen, Stadt
Steinheim an der Murr, Stadt
Beelitz, Stadt
Ebersberg, St
Röthenbach a.d.Pegnitz, St
Gaildorf, Stadt
Wolgast, Stadt
Ebersbach-Neugersdorf, Stadt
Zwönitz, Stadt
Hemsbach, Stadt
Pritzwalk, Stadt
Roding, St
Coswig (Anhalt), Stadt
Pößneck, Stadt
Hagenow, Stadt
Neuenrade, Stadt
Oestrich-Winkel, Stadt
Velten, Stadt
Vilsbiburg, St
Drolshagen, Stadt
Gräfenhainichen, Stadt
Erkner, Stadt
Dinkelsbühl, GKSt
Osterhofen, St
Hildburghausen, Stadt
Bad Dürrenberg, Stadt
Bopfingen, Stadt
Bad Fallingbostel, Stadt
Geisenheim, Hochschulstadt
Monschau, Stadt
Hauzenberg, St
Billerbeck, Stadt
Langelsheim, Stadt
Ladenburg, Stadt
Wittingen, Stadt
Walldürn, Stadt
Laichingen, Stadt
Lindenberg i.Allgäu, St
Lauenburg/ Elbe, Stadt
Lichtenstein/Sa., Stadt
Wolmirstedt, Stadt
Miesbach, St
Balve, Stadt
Lauffen am Neckar, Stadt
Schöningen, Stadt
Schwaigern, Stadt
Maxhütte-Haidhof, St
Ochsenfurt, St
Rheinau, Stadt
Stollberg/Erzgeb., Stadt
Werther (Westf.), Stadt
Geisenfeld, St
Marktheidenfeld, St
Osterwieck, Stadt
Mülheim-Kärlich, Stadt
Olbernhau, Stadt
Glückstadt, Stadt
Welzheim, Stadt
Trostberg, St
Bad Belzig, Stadt
Rothenburg ob der Tauber, GKSt
Bischofswerda, Stadt
Bad Schwalbach, Kreisstadt
Hammelburg, St
Schmölln, Stadt
Diez, Stadt
Oelsnitz/Erzgeb., Stadt
Braunfels, Stadt
Bad Nenndorf, Stadt
Regen, St
Gengenbach, Stadt
Rutesheim, Stadt
